
--------------------------------------------------
[FAIL] | Canada Post | #4008649213050886 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4008649213050886
[FAIL] | Canada Post | #4016010261056882 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010261056882
[FAIL] | Canada Post | #4016010260961880 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010260961880
[FAIL] | Canada Post | #4016010261012888 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010261012888
[FAIL] | Canada Post | #4016010256870882 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010256870882
[FAIL] | Canada Post | #4016010254920886 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010254920886
[FAIL] | Canada Post | #4016010254835883 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010254835883
[FAIL] | Canada Post | #4016010255017882 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010255017882
[FAIL] | Canada Post | #4016010254729885 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010254729885
[FAIL] | Canada Post | #4016010254708880 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010254708880
[FAIL] | Canada Post | #4016010254680889 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010254680889
[FAIL] | Canada Post | #4016010254328880 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010254328880
[FAIL] | Canada Post | #4016010254467886 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010254467886
[FAIL] | Canada Post | #4016010254573884 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010254573884
[FAIL] | Canada Post | #4016010254400883 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010254400883
[FAIL] | Canada Post | #4016010254125885 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010254125885
[FAIL] | Canada Post | #4016010254096888 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010254096888
[FAIL] | Canada Post | #4016010254044889 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010254044889
[FAIL] | Canada Post | #4016010248652885 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010248652885
[FAIL] | Canada Post | #4016010248581888 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010248581888
[FAIL] | Canada Post | #4016010248310884 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010248310884
[FAIL] | Canada Post | #4016010248213888 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010248213888
[FAIL] | Canada Post | #4016010247961889 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010247961889
[FAIL] | Canada Post | #4016010247656884 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010247656884
[FAIL] | Canada Post | #4016010247633885 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010247633885
[FAIL] | Canada Post | #4016010247498880 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010247498880
[FAIL] | Canada Post | #4016010247135884 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010247135884
[FAIL] | Canada Post | #4016010247174883 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010247174883
[FAIL] | Canada Post | #4016010247042885 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010247042885
[FAIL] | Canada Post | #4016010246848884 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010246848884
[FAIL] | Canada Post | #4016010246620886 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010246620886
[FAIL] | Canada Post | #4016010246127880 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010246127880
[FAIL] | Canada Post | #4016010246028880 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010246028880
[FAIL] | Canada Post | #4016010245671889 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010245671889
